iter	Accuracy	Logloss
0	0.7753364776	0.6773373858
1	0.7800529161	0.6626240961
2	0.7803980214	0.6492372875
3	0.7877602669	0.6368293354
4	0.7844242494	0.6254791971
5	0.7891406879	0.6148602113
6	0.7879903371	0.604764904
7	0.7916714598	0.5951755683
8	0.7910962844	0.5857677932
9	0.7924767054	0.5773131401
10	0.7923616703	0.5690947601
11	0.7900609686	0.5659168257
12	0.7922466352	0.5576358045
13	0.7930518808	0.5499763238
14	0.7940871966	0.5415234862
15	0.7939721615	0.5359870119
16	0.7952375475	0.5301929793
17	0.7966179685	0.5245419674
18	0.7970781088	0.5188170951
19	0.7979983895	0.5134314162
20	0.7975382492	0.5084383578
21	0.7991487404	0.5038552509
22	0.8000690211	0.5006328408
23	0.7988036351	0.4975542313
24	0.8004141263	0.4932373564
25	0.8002990912	0.4905344885
26	0.8000690211	0.4866692933
27	0.8002990912	0.4828288761
28	0.8005291614	0.4806743458
29	0.799953986	0.4778511822
30	0.8004141263	0.4749738726
31	0.8008742667	0.4723445897
32	0.8012193719	0.469837726
33	0.8015644772	0.466918698
34	0.8008742667	0.4643351211
35	0.8020246175	0.4615561171
36	0.8022546877	0.4590009853
37	0.8020246175	0.4568672578
38	0.8029448982	0.454470711
39	0.8029448982	0.4524440741
40	0.8021396526	0.4501237532
41	0.8031749684	0.4482671784
42	0.8047854596	0.4475514019
43	0.8047854596	0.4461224047
44	0.8042102841	0.4445121366
45	0.8044403543	0.4422697377
46	0.8051305648	0.4409961335
47	0.8062809157	0.4390178719
48	0.8063959508	0.4372555135
49	0.8073162315	0.4356461492
50	0.8065109859	0.4341131695
51	0.8068560911	0.4329347064
52	0.8070861613	0.4311929742
53	0.8096169332	0.4293410664
54	0.8097319683	0.428117082
55	0.8104221788	0.426735669
56	0.8098470033	0.425910762
57	0.8104221788	0.4246754672
58	0.8103071437	0.4235684707
59	0.8114574945	0.4224963883
60	0.8115725296	0.4211103842
61	0.8119176349	0.4194502805
62	0.8118025998	0.4185759125
63	0.8118025998	0.418124636
64	0.8121477051	0.4165383367
65	0.8132980559	0.415403437
66	0.8131830208	0.4148065855
67	0.8131830208	0.4135675163
68	0.8138732313	0.4125667164
69	0.813413091	0.4113089099
70	0.8137581962	0.4106623882
71	0.8145634418	0.4093230689
72	0.8142183366	0.4083025104
73	0.8146784769	0.4069022874
74	0.8157137927	0.4062863463
75	0.8153686874	0.4052935014
76	0.8159438629	0.4042148577
77	0.8170942137	0.4034027479
78	0.8170942137	0.4022692766
79	0.8169791786	0.4014210147
80	0.8175543541	0.4004167122
81	0.817439319	0.3992886093
82	0.8184746348	0.3985244404
83	0.8183595997	0.3975461252
84	0.8184746348	0.3969079334
85	0.8183595997	0.3961607063
86	0.8193949154	0.3952480638
87	0.820085126	0.3942408397
88	0.8198550558	0.3936221549
89	0.8204302312	0.3926076275
90	0.8211204417	0.3913854661
91	0.8205452663	0.3910118882
92	0.8208903716	0.3901454155
93	0.8212354768	0.389675553
94	0.8220407224	0.3888686362
95	0.8216956172	0.3882008896
96	0.8221557575	0.3875890162
97	0.8216956172	0.3868870993
98	0.8219256873	0.3861671756
99	0.8219256873	0.385428881
100	0.8230760382	0.3844130215
101	0.8235361785	0.3840016402
102	0.8233061084	0.3835946594
103	0.8236512136	0.3833146931
104	0.8234211434	0.3832744666
105	0.8235361785	0.3827380566
106	0.8236512136	0.3827007445
107	0.8236512136	0.3825509296
108	0.8234211434	0.3821943166
109	0.8239963189	0.3817240467
110	0.8239963189	0.3812120728
111	0.8238812838	0.3804372992
112	0.8245714943	0.3800442986
113	0.8246865294	0.3796993817
114	0.8245714943	0.3793575045
115	0.8250316346	0.3789094548
116	0.8244564592	0.3785042751
117	0.8250316346	0.3779325427
118	0.8252617048	0.3774705815
119	0.8252617048	0.3770343905
120	0.8249165996	0.376826683
121	0.8252617048	0.3762823902
122	0.8253767399	0.3758809813
123	0.825491775	0.3758510133
124	0.8256068101	0.3754366482
125	0.825491775	0.3750147308
126	0.8257218452	0.3745331185
127	0.8253767399	0.3742844239
128	0.8257218452	0.3740394855
129	0.8256068101	0.3739834599
130	0.8269872311	0.3732609636
131	0.826872196	0.372480575
132	0.8272173013	0.3721450097
133	0.8272173013	0.3717262554
134	0.8271022662	0.3714182538
135	0.826872196	0.3712482365
136	0.8276774416	0.3703314406
137	0.8274473714	0.3701411695
138	0.8272173013	0.3698066239
139	0.8273323364	0.3693820774
140	0.8272173013	0.3693562774
141	0.8276774416	0.3688946362
142	0.8277924767	0.3686673774
143	0.8273323364	0.3683475755
144	0.8280225469	0.3678293345
145	0.8283676521	0.3673379688
146	0.8284826872	0.367136179
147	0.8287127574	0.3667453169
148	0.8296330381	0.3661227534
149	0.8294029679	0.3656583809
150	0.8296330381	0.3654288465
151	0.8297480732	0.3652065783
152	0.8296330381	0.3648831773
153	0.8302082135	0.3643683841
154	0.8303232486	0.3640345907
155	0.8300931784	0.3635503427
156	0.8302082135	0.3635002217
157	0.8303232486	0.3632553673
158	0.8307833889	0.3628320282
159	0.8304382837	0.3626307488
160	0.8306683538	0.3622970181
161	0.8307833889	0.3618854498
162	0.8307833889	0.361621424
163	0.830898424	0.3612993774
164	0.8317036696	0.3610903383
165	0.8317036696	0.3607916661
166	0.8320487749	0.3603478514
167	0.8320487749	0.3600947421
168	0.83216381	0.3598214849
169	0.8327389854	0.3592772438
170	0.8328540205	0.3589539641
171	0.8331991257	0.3585844625
172	0.8340043713	0.3580853291
173	0.8340043713	0.3580315594
174	0.8336592661	0.3578425683
175	0.8340043713	0.3574053332
176	0.8341194064	0.3570408687
177	0.8342344415	0.3570163426
178	0.8342344415	0.3567602409
179	0.8344645117	0.3567323568
180	0.8344645117	0.3566322704
181	0.8343494766	0.3563552907
182	0.8344645117	0.3561402627
183	0.8352697573	0.3557525099
184	0.834924652	0.3556214514
185	0.8350396871	0.3553804878
186	0.8352697573	0.354857073
187	0.836305073	0.354324047
188	0.836305073	0.3541304486
189	0.836190038	0.3541281249
190	0.836190038	0.3538590479
191	0.836190038	0.3536671362
192	0.8369952836	0.3532571749
193	0.837570459	0.3529414356
194	0.837570459	0.3529038124
195	0.8379155642	0.3526463223
196	0.8378005292	0.3521542249
197	0.8380305993	0.3518441265
198	0.8384907397	0.3515368239
199	0.8386057748	0.351321786
200	0.8396410905	0.3509897825
201	0.8395260554	0.3509699287
202	0.8395260554	0.3509549441
203	0.8395260554	0.3509539774
204	0.8401012309	0.3507648909
205	0.840216266	0.3505337706
206	0.8405613712	0.3503161332
207	0.8406764063	0.3501457253
208	0.8409064765	0.3498119672
209	0.8411365466	0.3494207033
210	0.8409064765	0.3493377206
211	0.8412515817	0.3492248157
212	0.8414816519	0.3489802424
213	0.8413666168	0.3485998865
214	0.8411365466	0.3483483565
215	0.8411365466	0.348175979
216	0.841596687	0.348073622
217	0.8419417922	0.34776961
218	0.8421718624	0.3475104193
219	0.8425169677	0.347325911
220	0.8425169677	0.3473083733
221	0.8428620729	0.3469732155
222	0.8427470378	0.3467807937
223	0.8424019326	0.3463067258
224	0.8432071782	0.3460600594
225	0.8434372484	0.3459379451
226	0.8433222133	0.345826555
227	0.8441274589	0.3455127976
228	0.844357529	0.3453149482
229	0.844357529	0.3452755759
230	0.844357529	0.3449585457
231	0.844357529	0.3447557596
232	0.8450477396	0.3443516211
233	0.8447026343	0.3442048649
234	0.8448176694	0.3440110065
235	0.8450477396	0.3438314263
236	0.8447026343	0.3436170419
237	0.8451627746	0.3435621321
238	0.8457379501	0.3431911754
239	0.8453928448	0.3428298167
240	0.8453928448	0.3427181077
241	0.8459680202	0.3424676063
242	0.8458529852	0.3421147449
243	0.8460830553	0.3418424819
244	0.8467732658	0.3417982597
245	0.8467732658	0.3411677708
246	0.8466582308	0.3410608141
247	0.8466582308	0.3410608131
248	0.8467732658	0.3408914059
249	0.8471183711	0.3406957958
250	0.8466582308	0.3405906717
251	0.8465431957	0.3403878291
252	0.8466582308	0.3402571124
253	0.8467732658	0.3402068792
254	0.8474634764	0.3398310101
255	0.847003336	0.3397633785
256	0.8471183711	0.3396295254
257	0.8473484413	0.3395580536
258	0.8480386518	0.3391477919
259	0.8480386518	0.3391399036
260	0.848268722	0.338803582
261	0.8480386518	0.3386799079
262	0.8480386518	0.3385423109
263	0.848268722	0.3382672607
264	0.848268722	0.3382630127
265	0.8481536869	0.3379206914
266	0.8481536869	0.3377681379
267	0.8487288623	0.3376174995
268	0.848383757	0.3373606887
269	0.8486138272	0.3369917089
270	0.8490739676	0.3367489703
271	0.8495341079	0.3365332194
272	0.8495341079	0.3363984528
273	0.849649143	0.3360739115
274	0.8494190728	0.3356656683
275	0.849649143	0.3354324276
276	0.8493040377	0.335187791
277	0.8495341079	0.3349190475
278	0.8497641781	0.3347466023
279	0.8498792132	0.3345877248
280	0.8501092833	0.3344220034
281	0.8502243184	0.3343006839
282	0.8503393535	0.3342486269
283	0.8502243184	0.3339214249
284	0.8501092833	0.3336998431
285	0.8498792132	0.3334930111
286	0.8501092833	0.3332756848
287	0.8507994938	0.3328263174
288	0.8506844588	0.3325740419
289	0.8509145289	0.3322935825
290	0.8509145289	0.3319684325
291	0.8511445991	0.3315678656
292	0.8511445991	0.3313558415
293	0.8511445991	0.3313386275
294	0.851029564	0.331128361
295	0.8519498447	0.3307540501
296	0.8513746693	0.3306162739
297	0.8517197745	0.3304300112
298	0.8518348096	0.3299167956
299	0.8520648798	0.3297610653
300	0.8521799149	0.3296407414
301	0.8521799149	0.3294728302
302	0.8521799149	0.3294585895
303	0.8518348096	0.3291299307
304	0.8520648798	0.3289656511
305	0.8521799149	0.3288066576
306	0.8519498447	0.3286736623
307	0.85229495	0.3282876279
308	0.852409985	0.328123412
309	0.8529851605	0.327956467
310	0.8531001956	0.3278502991
311	0.8526400552	0.3276450961
312	0.8529851605	0.3274753616
313	0.8534453008	0.3269655904
314	0.8534453008	0.3268728537
315	0.8539054412	0.3265575745
316	0.8532152306	0.3263073309
317	0.8542505464	0.3260264021
318	0.8543655815	0.3258345357
319	0.8544806166	0.3256428307
320	0.8548257218	0.3254513892
321	0.8547106868	0.3254008786
322	0.8554008973	0.3252249854
323	0.8554008973	0.3248982162
