iter	Passed	Remaining
0	43	34401
1	91	36416
2	130	34771
3	165	32998
4	202	32177
5	239	31644
6	278	31595
7	312	30984
8	355	31267
9	397	31392
10	432	31043
11	442	29085
12	479	29003
13	513	28852
14	548	28717
15	583	28581
16	620	28570
17	656	28506
18	691	28416
19	727	28388
20	761	28261
21	801	28333
22	835	28210
23	873	28235
24	908	28173
25	948	28243
26	983	28151
27	1018	28074
28	1055	28062
29	1091	28021
30	1149	28514
31	1182	28385
32	1217	28305
33	1258	28353
34	1296	28332
35	1331	28254
36	1370	28257
37	1407	28233
38	1444	28181
39	1479	28119
40	1514	28036
41	1551	27994
42	1575	27730
43	1607	27627
44	1642	27562
45	1678	27519
46	1711	27418
47	1743	27314
48	1778	27262
49	1813	27201
50	1851	27190
51	1888	27168
52	1924	27118
53	1985	27431
54	2072	28073
55	2129	28288
56	2162	28193
57	2198	28131
58	2229	28001
59	2264	27931
60	2299	27857
61	2335	27805
62	2369	27721
63	2389	27477
64	2422	27397
65	2459	27347
66	2478	27116
67	2512	27049
68	2549	27005
69	2590	27010
70	2625	26953
71	2659	26893
72	2694	26837
73	2727	26754
74	2759	26675
75	2796	26636
76	2831	26587
77	2866	26529
78	2902	26486
79	2940	26462
80	2980	26455
81	3019	26437
82	3062	26453
83	3102	26445
84	3137	26389
85	3180	26407
86	3242	26577
87	3280	26544
88	3316	26496
89	3351	26443
90	3386	26387
91	3422	26339
92	3457	26284
93	3491	26221
94	3526	26170
95	3595	26370
96	3680	26671
97	3716	26625
98	3752	26571
99	3785	26497
100	3819	26432
101	3856	26392
102	3894	26355
103	3927	26286
104	3939	26075
105	3972	26007
106	3982	25792
107	3994	25593
108	4033	25572
109	4074	25559
110	4118	25566
111	4156	25532
112	4188	25467
113	4225	25426
114	4260	25380
115	4301	25364
116	4339	25334
117	4372	25271
118	4409	25236
119	4446	25196
120	4497	25239
121	4529	25174
122	4567	25142
123	4578	24959
124	4612	24908
125	4645	24850
126	4680	24802
127	4711	24734
128	4747	24693
129	4760	24536
130	4794	24486
131	4867	24634
132	4946	24805
133	5027	24989
134	5118	25215
135	5158	25183
136	5232	25323
137	5289	25374
138	5367	25523
139	5400	25460
140	5412	25295
141	5445	25234
142	5469	25127
143	5503	25072
144	5538	25020
145	5572	24963
146	5607	24910
147	5643	24861
148	5681	24821
149	5716	24769
150	5751	24721
151	5786	24668
152	5813	24583
153	5850	24541
154	5883	24483
155	5920	24440
156	5934	24303
157	5969	24256
158	6001	24194
159	6040	24160
160	6083	24143
161	6116	24088
162	6154	24052
163	6192	24014
164	6226	23962
165	6263	23920
166	6298	23875
167	6333	23827
168	6367	23776
169	6424	23807
